timestamp,station,borough,ridership,transfers,hour
2026-04-01 01:00:00,"168 St-Washington Hts (1,A,C)",Manhattan,4,0,1
2026-04-01 01:00:00,"Lexington Av/59 St (4,5,6,N,R,W)",Manhattan,1,1,1
2026-04-01 01:00:00,"23 St (C,E)",Manhattan,2,0,1
2026-04-01 01:00:00,Nassau Av (G),Brooklyn,1,0,1
2026-04-01 01:00:00,96 St (6),Manhattan,4,0,1
2026-04-01 01:00:00,Mets-Willets Point (7),Queens,2,0,1
2026-04-01 01:00:00,"62 St/New Utrecht Av (D,N)",Brooklyn,3,0,1
2026-04-01 01:00:00,Knickerbocker Av (M),Brooklyn,2,0,1
2026-04-01 01:00:00,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",Queens,5,0,1
2026-04-01 01:00:00,207 St (1),Manhattan,1,0,1
2026-04-01 01:00:00,176 St (4),Bronx,2,0,1
2026-04-01 01:00:00,167 St (4),Bronx,1,0,1
2026-04-01 01:00:00,"Bowling Green (4,5)",Manhattan,1,0,1
2026-04-01 01:00:00,72 St (Q),Manhattan,20,0,1
2026-04-01 01:00:00,"149 St-Grand Concourse (2,4,5)",Bronx,2,0,1
2026-04-01 01:00:00,"14 St/8 Av (A,C,E,L)",Manhattan,9,0,1
2026-04-01 01:00:00,Canarsie-Rockaway Pkwy (L),Brooklyn,2,0,1
2026-04-01 01:00:00,"23 St (C,E)",Manhattan,31,0,1
2026-04-01 01:00:00,181 St (1),Manhattan,4,1,1
2026-04-01 01:00:00,"34 St-Penn Station (1,2,3)",Manhattan,12,0,1
2026-04-01 01:00:00,"Flatbush Av-Brooklyn College (2,5)",Brooklyn,11,0,1
2026-04-01 01:00:00,Hunts Point Av (6),Bronx,14,0,1
2026-04-01 01:00:00,Eastchester-Dyre Av (5),Bronx,1,0,1
2026-04-01 01:00:00,"Sheepshead Bay (B,Q)",Brooklyn,3,0,1
2026-04-01 01:00:00,"Chambers St/WTC/Park Place/Cortlandt St (2,3,A,C,E,R,W)",Manhattan,14,0,1
2026-04-01 01:00:00,Atlantic Av (L),Brooklyn,3,0,1
2026-04-01 01:00:00,"Tremont Av (B,D)",Bronx,10,0,1
2026-04-01 01:00:00,"75 Av (E,F)",Queens,2,0,1
2026-04-01 01:00:00,Nassau Av (G),Brooklyn,19,0,1
2026-04-01 01:00:00,Dyckman St (1),Manhattan,2,0,1
2026-04-01 01:00:00,181 St (1),Manhattan,20,1,1
2026-04-01 01:00:00,137 St-City College (1),Manhattan,2,0,1
2026-04-01 01:00:00,125 St (1),Manhattan,1,1,1
2026-04-01 01:00:00,Harlem-148 St (3),Manhattan,1,0,1
2026-04-01 01:00:00,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,1,0,1
2026-04-01 01:00:00,"86 St (C,B)",Manhattan,1,0,1
2026-04-01 01:00:00,Marble Hill-225 St (1),Manhattan,2,0,1
2026-04-01 01:00:00,Flushing-Main St (7),Queens,2,0,1
2026-04-01 01:00:00,"Whitehall St-South Ferry (1,R,W)",Manhattan,2,0,1
2026-04-01 01:00:00,"Beach 90 St (A,S)",Queens,1,0,1
2026-04-01 01:00:00,"170 St (B,D)",Bronx,3,0,1
2026-04-01 01:00:00,"7 Av (E,B,D)",Manhattan,3,0,1
2026-04-01 01:00:00,Christopher St-Stonewall (1),Manhattan,54,0,1
